epsilon,system,class,d_prime,hit_rate,fa_rate,beta
0.1,Efficientnet,frog,-2.260714893974379,0.0004995004995004995,0.15148316853682925,132.1797276809529
0.1,Efficientnet,horse,-1.2881796062443898,0.0004995004995004995,0.022608599044550606,30.24855171315893
0.1,Efficientnet,ship,-1.6920602513857732,0.0004995004995004995,0.05493834018442395,62.59662325576732
0.1,Efficientnet,truck,-2.160928013406259,0.0004995004995004995,0.12926341517609155,118.67564375621981
0.2,Efficientnet,airplane,-1.5534509800557825,0.0004995004995004995,0.04116209310076658,49.67510092469498
0.2,Efficientnet,automobile,-1.5900588305084935,0.0004995004995004995,0.04449505610487724,52.901656699514035
0.2,Efficientnet,bird,-2.1714108549078777,0.0004995004995004995,0.13148539051216532,120.0830391021507
0.2,Efficientnet,cat,-3.0589997838710987,0.0004995004995004995,0.408343517386957,218.7306114030794
0.2,Efficientnet,deer,-1.8120564692734247,0.0004995004995004995,0.06960337740251084,75.29061279068817
0.2,Efficientnet,dog,-1.717527137036249,0.0004995004995004995,0.05782690812131985,65.17670879661006
0.2,Efficientnet,frog,-2.263078928455243,0.0004995004995004995,0.15203866237084768,132.50163049022126
0.2,Efficientnet,horse,-1.2861067270832245,0.0004995004995004995,0.022497500277746916,30.123179280400997
0.2,Efficientnet,ship,-1.693059053657698,0.0004995004995004995,0.055049438951227644,62.69662817340091
0.2,Efficientnet,truck,-2.159872887031382,0.0004995004995004995,0.12904121764248416,118.53418099699864
0.3,Efficientnet,airplane,-1.5534509800557825,0.0004995004995004995,0.04116209310076658,49.67510092469498
0.3,Efficientnet,automobile,-1.5900588305084935,0.0004995004995004995,0.04449505610487724,52.901656699514035
0.3,Efficientnet,bird,-2.1714108549078777,0.0004995004995004995,0.13148539051216532,120.0830391021507
0.3,Efficientnet,cat,-3.0589997838710987,0.0004995004995004995,0.408343517386957,218.7306114030794
0.3,Efficientnet,deer,-1.8120564692734247,0.0004995004995004995,0.06960337740251084,75.29061279068817
0.3,Efficientnet,dog,-1.717527137036249,0.0004995004995004995,0.05782690812131985,65.17670879661006
0.3,Efficientnet,frog,-2.263078928455243,0.0004995004995004995,0.15203866237084768,132.50163049022126
0.3,Efficientnet,horse,-1.2861067270832245,0.0004995004995004995,0.022497500277746916,30.123179280400997
0.3,Efficientnet,ship,-1.693059053657698,0.0004995004995004995,0.055049438951227644,62.69662817340091
0.3,Efficientnet,truck,-2.159872887031382,0.0004995004995004995,0.12904121764248416,118.53418099699864
0.0,Shaperesnet,airplane,3.8323990940409214,0.9215784215784216,0.007832463059660039,0.14692255293418396
0.0,Shaperesnet,automobile,4.117852729665134,0.9415584415584416,0.0053882901899788916,0.1324437187735
0.0,Shaperesnet,bird,3.600521679806423,0.9045954045954046,0.010943228530163315,0.17004110088323182
0.0,Shaperesnet,cat,3.0265561075405762,0.7887112887112887,0.013054105099433397,0.11615254180125818
0.0,Shaperesnet,deer,3.6667926489758003,0.9325674325674326,0.0149427841350961,0.28934478021948545
0.0,Shaperesnet,dog,3.2561228292738824,0.8706293706293706,0.016720364403955117,0.1971488102501143
0.0,Shaperesnet,frog,4.2347104702115805,0.9485514485514486,0.0046105988223530715,0.12749097005419793
0.0,Shaperesnet,horse,3.884047449721808,0.9315684315684316,0.008276858126874792,0.17116928004693627
0.0,Shaperesnet,ship,4.178936672343765,0.9555444555444556,0.006610376624819465,0.19737010836690533
0.0,Shaperesnet,truck,4.081735823521545,0.9475524475524476,0.00694367292523053,0.1806025129695434
0.01,Shaperesnet,airplane,0.35012775894883286,0.16233766233766234,0.09093434062881903,0.666220864826573
0.01,Shaperesnet,automobile,1.0225289821608767,0.28121878121878124,0.05460504388401289,0.32789665094762943
0.01,Shaperesnet,bird,0.2588024628635609,0.1953046953046953,0.13192978557938007,0.7743939367163382
0.01,Shaperesnet,cat,-0.5753998188999512,0.042457542457542456,0.12559715587156983,2.283677113809901
0.01,Shaperesnet,deer,-0.23709758232938527,0.07842157842157842,0.11926452616375958,1.360112978408276
0.01,Shaperesnet,dog,0.27031244472601246,0.17132867132867133,0.1113765137206977,0.7459912575573647
0.01,Shaperesnet,frog,0.6352823664345226,0.16133866133866134,0.05216087101433174,0.436019771152291
0.01,Shaperesnet,horse,0.6624237156226035,0.2042957042957043,0.06827019220086657,0.46449105504889765
0.01,Shaperesnet,ship,0.7606678118763854,0.23326673326673328,0.06827019220086657,0.43034266577701763
0.01,Shaperesnet,truck,0.7832204035603628,0.2842157842157842,0.08793467392511943,0.4707458239299557
0.05,Shaperesnet,airplane,-2.014555943799831,0.0004995004995004995,0.10093322964115098,99.5140496524797
0.05,Shaperesnet,automobile,-1.7184864427195978,0.0004995004995004995,0.05793800688812354,65.27512144731755
0.05,Shaperesnet,bird,-2.368783703992414,0.0004995004995004995,0.17825797133651816,146.88413282186437
0.05,Shaperesnet,cat,-2.3550651102119757,0.0004995004995004995,0.17470281079880012,145.02426717571734
0.05,Shaperesnet,deer,-2.2425566019262466,0.0004995004995004995,0.14726141539828908,129.70893490665455
0.05,Shaperesnet,dog,-1.8291561979854736,0.0014985014985014985,0.12737473614042885,42.78176635639914
0.05,Shaperesnet,frog,-1.7484487418654497,0.0004995004995004995,0.06149316742584157,68.39313622503397
0.05,Shaperesnet,horse,-1.7935202045850682,0.0004995004995004995,0.06715920453282968,73.24230110342295
0.05,Shaperesnet,ship,-1.908839661830942,0.0004995004995004995,0.0834907232529719,86.46937080170589
0.05,Shaperesnet,truck,-2.0791454129973332,0.0004995004995004995,0.11282079768914564,107.83964711919108
0.1,Shaperesnet,airplane,-1.8586345563830602,0.0004995004995004995,0.07604710587712477,80.57175209893012
0.1,Shaperesnet,automobile,-1.5381329611033363,0.0004995004995004995,0.03982890789912232,48.364865596894525
0.1,Shaperesnet,bird,-2.467029638501963,0.0004995004995004995,0.20503277413620707,160.0366838691981
0.1,Shaperesnet,cat,-2.4405438997468805,0.0004995004995004995,0.19758915676035996,156.52784844904878
0.1,Shaperesnet,deer,-2.315052432212286,0.0004995004995004995,0.1645928230196645,139.58294399436403
0.1,Shaperesnet,dog,-2.0866541865779857,0.0004995004995004995,0.1142650816575936,108.8221919229356
0.1,Shaperesnet,frog,-1.8882875653048274,0.0004995004995004995,0.08037995778246862,84.0302385672911
0.1,Shaperesnet,horse,-1.625634872010889,0.0004995004995004995,0.04793911787579158,56.16578417011374
0.1,Shaperesnet,ship,-1.8823054507642822,0.0004995004995004995,0.07949116764803911,83.3266800605907
0.1,Shaperesnet,truck,-2.044779985015853,0.0004995004995004995,0.10637706921453172,103.38042004073706
0.2,Shaperesnet,airplane,-1.7068778963898457,0.0004995004995004995,0.05660482168647928,64.09018481581833
0.2,Shaperesnet,automobile,-1.2074442503241674,0.0004995004995004995,0.01860904343961782,25.649043930739325
0.2,Shaperesnet,bird,-2.5709529039549577,0.0004995004995004995,0.2358071325408288,173.4020297664055
0.2,Shaperesnet,cat,-2.4814109751901015,0.0004995004995004995,0.20914342850794357,161.92717296998805
0.2,Shaperesnet,deer,-2.4288934522458043,0.0004995004995004995,0.194367292523053,154.97442707235467
0.2,Shaperesnet,dog,-1.983773373248305,0.0004995004995004995,0.09560048883457394,95.63498804194424
0.2,Shaperesnet,frog,-2.132529322296626,0.0004995004995004995,0.12337518053549605,114.88179561935749
